1|Albert Camus|1913|1960|https://en.wikipedia.org/wiki/Albert Camus|https://upload.wikimedia.org/wikipedia/commons/0/08/Albert_Camus%2C_gagnant_de_prix_Nobel%2C_portrait_en_buste%2C_pos%C3%A9_au_bureau%2C_faisant_face_%C3%A0_gauche%2C_cigarette_de_tabagisme.jpg
2|Richard Feynman|1918|1988|https://en.wikipedia.org/wiki/Richard_Feynman|https://upload.wikimedia.org/wikipedia/en/4/42/Richard_Feynman_Nobel.jpg
3|Bertrand Russell|1872|1970|https://en.wikipedia.org/wiki/Bertrand_Russell|https://upload.wikimedia.org/wikipedia/commons/5/5f/Bertrand_Russell_1957.jpg
4|Henry Brooks Adams|1838|1918|https://en.wikipedia.org/wiki/Henry_Brooks_Adams|https://upload.wikimedia.org/wikipedia/commons/b/bf/William_Notman_-_Henry_Brooks_Adams%2C_1885_%28transparent%29.png
5|Ronald Reagan|1911|2004|https://en.wikipedia.org/wiki/Ronald_Reagan|https://upload.wikimedia.org/wikipedia/commons/1/16/Official_Portrait_of_President_Reagan_1981.jpg
